ï..comunidad,num.entrevista,venta,tipo.mercado.venta,no.productos,distancia,distancia.km,tiempo,tiempo.min,tipo de carretera
Xochitlalpa,18,Coxcatlan,local,7,corta,24.1,poco,47,mixta
Xochitlalpa,18,Coyomeapan,municipal,1,corta,25.8,poco,55,mixta
Xochitlalpa,18,SanSebastian,municipal,10,media,39,medio,67,mixta
Xochitlalpa,19,Ajalpan,micro-regional,17,media,43.6,medio,75,mixta
Xochitlalpa,19,Coxcatlan,local,17,corta,24.1,poco,47,mixta
Xochitlalpa,19,Coyomeapan,municipal,17,corta,25.8,poco,55,mixta
Xochitlalpa,19,SanSebastian,municipal,17,media,39,medio,67,mixta
Xochitlalpa,19,Zoquitlan,micro-regional,17,corta,23.9,poco,49,mixta
Xochitlalpa,20,Coyomeapan,municipal,11,corta,25.8,poco,55,mixta
Xochitlalpa,20,SanSebastian,municipal,11,media,39,medio,67,mixta
