comunidad,num.entrevista,nombre.recurso,tipo.terreno,terreno.tamano.m2.,riego,manejo.producto,manejo.herramienta,manejo.estructura
Aticpac,4,xochitekonzi,monte,NA,NA,NA,manual,NA
Aticpac,4,platano,huerto,100,temporal,NA,manual,NA
Aticpac,4,platano,parcela,150,temporal,NA,manual,NA
Aticpac,4,naranja,huerto,100,temporal,NA,manual,NA
Aticpac,4,naranja,parcela,150,temporal,NA,manual,NA
Aticpac,4,lima,huerto,100,temporal,NA,manual,NA
Aticpac,4,guayaba,huerto,100,temporal,NA,manual,NA
Aticpac,4,guayaba,huerto,100,temporal,NA,manual,NA
Aticpac,4,tepexilotl,huerto,100,temporal,NA,manual,NA
Aticpac,4,cafe,huerto,100,temporal,NA,manual,NA
Aticpac,4,cafe,parcela,150,temporal,plaguicida,manual,NA
Aticpac,4,velikmoli,huerto,100,temporal,NA,manual,NA
Aticpac,4,velikmoli,huerto,100,temporal,NA,manual,NA
Aticpac,4,epazote,huerto,100,temporal,NA,manual,NA
Aticpac,4,yerbabuena,huerto,100,temporal,NA,manual,NA
Aticpac,4,yerbabuena,huerto,100,temporal,NA,manual,NA
Aticpac,4,aztokilitl,huerto,100,temporal,NA,manual,NA
Aticpac,4,aztokilitl,parcela,150,temporal,NA,manual,NA
Aticpac,4,tzopelikilitl,huerto,100,temporal,NA,manual,NA
Aticpac,4,tzopelikilitl,parcela,150,temporal,NA,manual,NA
Aticpac,4,xokokilitl,huerto,100,temporal,NA,manual,NA
Aticpac,4,durazno,huerto,100,temporal,NA,manual,NA
Aticpac,4,cilantro,huerto,100,temporal,NA,manual,NA
Aticpac,4,maiz,parcela,150,temporal,NA,manual,NA
Aticpac,4,frijol,parcela,150,temporal,NA,manual,NA
Aticpac,4,calabaza,parcela,150,temporal,NA,manual,NA
Aticpac,4,pepe,monte,NA,NA,NA,manual,NA
Aticpac,4,yoloxochitl,huerto,100,temporal,NA,manual,NA
Aticpac,4,yoloxochitl,huerto,100,temporal,NA,manual,NA
Aticpac,4,zarzamora,monte,NA,NA,NA,manual,NA
Aticpac,4,zacate_limon,huerto,100,temporal,NA,manual,NA
Aticpac,4,tekilitl,monte,NA,NA,NA,manual,NA
Aticpac,4,tekilitl,monte,NA,NA,NA,manual,NA
Aticpac,4,aguacate,huerto,100,temporal,NA,manual,NA
Aticpac,5,iztananacatl,monte,NA,NA,NA,manual,NA
Aticpac,5,tonagas,monte,NA,NA,NA,manual,NA
Aticpac,5,chilnanacatl,monte,NA,NA,NA,manual,NA
Aticpac,5,cana,parcela,0,temporal,NA,manual,NA
Aticpac,5,ixote,monte,NA,NA,NA,manual,NA
Aticpac,5,cascabel,huerto,0,temporal,NA,manual,NA
Aticpac,5,azucena,huerto,0,temporal,NA,manual,NA
Aticpac,5,gardenia,huerto,0,temporal,NA,manual,NA
Aticpac,5,lirio,huerto,0,temporal,NA,manual,NA
Aticpac,5,narciso,huerto,0,temporal,NA,manual,NA
Aticpac,5,tepexilotl,huerto,0,temporal,NA,manual,NA
Aticpac,5,platano,huerto,0,temporal,NA,manual,NA
Aticpac,5,naranja,huerto,0,temporal,NA,manual,NA
Aticpac,5,lima,huerto,0,temporal,NA,manual,NA
Aticpac,5,mandarina,huerto,0,temporal,NA,manual,NA
Aticpac,5,maiz,parcela,0,temporal,NA,manual,NA
Aticpac,5,frijol,parcela,0,temporal,NA,manual,NA
Aticpac,5,cafe,huerto,0,temporal,NA,manual,NA
Aticpac,5,hierbadeborracho,monte,NA,NA,NA,manual,NA
Aticpac,5,tekilitl,monte,NA,NA,NA,manual,NA
Aticpac,5,aztokilitl,parcela,0,temporal,NA,manual,NA
Aticpac,5,tzopelikilitl,huerto,0,temporal,NA,manual,NA
Aticpac,5,tzopelikilitl,parcela,0,temporal,NA,manual,NA
Aticpac,5,laurel,monte,NA,NA,NA,manual,NA
Aticpac,6,kaxpalzi,monte,NA,NA,NA,manual,NA
Aticpac,6,oconanacatl,monte,NA,NA,NA,manual,NA
Aticpac,6,maiz,parcela,62880,temporal,NA,manual,NA
Aticpac,6,cafe,huerto,1886.4,temporal,NA,manual,NA
Aticpac,6,platano,huerto,1886.4,temporal,NA,manual,NA
Aticpac,6,lima,huerto,1886.4,temporal,NA,manual,NA
Aticpac,6,naranja,huerto,1886.4,temporal,NA,manual,NA
Aticpac,6,tepexilotl,huerto,1886.4,temporal,NA,manual,NA
Aticpac,6,tomakilitl,parcela,62880,temporal,NA,manual,NA
Aticpac,6,aztokilitl,parcela,62880,temporal,NA,manual,NA
Aticpac,6,frijol,parcela,62880,temporal,NA,manual,NA
Aticpac,6,chiltepe,parcela,62880,temporal,NA,manual,NA
Aticpac,6,papalokilitl,parcela,62880,temporal,NA,manual,NA
Aticpac,6,tekilitl,monte,NA,NA,NA,manual,NA
Aticpac,6,laurel,monte,NA,NA,NA,manual,NA
Aticpac,6,tehuantekilitl,monte,NA,NA,NA,manual,NA
Aticpac,6,zarzamora,monte,NA,NA,NA,manual,NA
Aticpac,6,epazote,huerto,1886.4,temporal,NA,manual,NA
