comunidad,num.entrevista,nombre.recurso,tipo.recurso,uso,venta,tipo.mercado.venta,distancia,distancia.km,tiempo,tiempo.min,tipo.de.carretera,tipologia.mercado,compra,manejo,tipo.terreno,tamano.huerto.m2,tamano.parcela.m2,tamano.invernadero.m2,tamano.cultivo.m2,tamano.cultivo,terreno.propiedad,percepcion.clima,riego,manejo.producto,manejo.herramienta,manejo.estructura,escolaridad.grado,escolaridad,origen,lenguas,lengua,nahuatl,espanol,migracion,campesino,productor,pastor,comercio,tendero,jornalero,otro
Aticpac,2,chayote,planta,comestible,Coyomeapan,municipal,corta,19.8,medio,74,terraceria,Mercado_Municipal,NA,tolerado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,cana,planta,comestible,Zoquitlan,micro-regional,corta,16.3,medio,60,mixta,Mercado_pequeno,NA,tolerado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,cana,planta,comestible,Coyomeapan,municipal,corta,19.8,medio,74,terraceria,Mercado_Municipal,NA,tolerado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,guayaba,planta,lena,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,guayaba,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,durazno,planta,comestible,NA,NA,NA,NA,NA,NA,NA,compra,Zoquitlan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,durazno,planta,comestible,NA,NA,NA,NA,NA,NA,NA,compra,Coyomeapan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,aguacate,planta,comestible,Zoquitlan,micro-regional,corta,16.3,medio,60,mixta,Mercado_pequeno,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,aguacate,planta,comestible,Coyomeapan,municipal,corta,19.8,medio,74,terraceria,Mercado_Municipal,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,epazote,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,yerbabuena,planta,comestible,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,yerbabuena,planta,medicinal,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,mototl,planta,comestible,Zoquitlan,micro-regional,corta,16.3,medio,60,mixta,Mercado_pequeno,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,mototl,planta,comestible,Coyomeapan,municipal,corta,19.8,medio,74,terraceria,Mercado_Municipal,NA,cultivado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
Aticpac,2,hierbamaestra,planta,medicinal,NA,NA,NA,NA,NA,NA,NA,autoconsumo,NA,tolerado,huerto,-,0,0,-,NA,propio,caliente_humedo,temporal,NA,manual,NA,0,no,municipal,1,nahuatl,1,0,0,1,0,0,1,0,0,0
